query,observedRank,resultType,domain,url,title,snippet,brand,checkedAt
부산 상속전문 법무사,1,WEB_SITE,greeda.co.kr,https://greeda.co.kr/,부산 상속전문｜로펌,(변호사 중심) 절차·분쟁·세무,그리다,2026-09-25T23:58:00+09:00
부산 상속전문 법무사,2,WEB_SITE,bms-sangsok.com,https://bms-sangsok.com/,김정민 법무사 부산 상속,등기·포기·한정승인 실무,김정민법무사,2026-09-25T23:58:00+09:00
부산 상속전문 법무사,4,WEB_SITE,hero-law.co.kr,https://hero-law.co.kr/,히어로｜부산 상속,(추정) 전문팀·사례,히어로,2026-09-25T23:58:00+09:00
부산 상속전문 법무사,5,WEB_SITE,daechung-law.com,https://daechung-law.com/,대한중앙｜상속전문,(변호사),대한중앙,2026-09-25T23:58:00+09:00
부산 상속전문 법무사,7,WEB_SITE,pklaw.kr,https://pklaw.kr/,PK｜상속·가업승계,(추정),PK,2026-09-25T23:58:00+09:00
부산 상속전문 법무사,9,WEB_SITE,jungseo-law.com,https://jungseo-law.com/,정서｜상속 법률,(추정),정서,2026-09-25T23:58:00+09:00
부산 상속전문 법무사,1,AD,naver.com,https://searchad.naver.com/,부산 상속전문 법무사,(광고),—,2026-09-25T23:58:00+09:00
부산 상속전문 법무사,12+,WEB_SITE,다옴법무사사무소.kr,https://다옴법무사사무소.kr/부산상속법무사,(1페이지 상단 미확실),허브·전문 URL 혼재 가능,다옴,2026-09-25T23:58:00+09:00
부산 상속전문 법무사,15,WEB_SITE,다옴법무사사무소.kr,https://다옴법무사사무소.kr/부산상속전문법무사,(noindex 후보·canonical hub),전문 자격 표방 회피용 spoke,다옴,2026-09-25T23:58:00+09:00
부산 상속전문 법무사,18,WEB_SITE,naver.com,https://blog.naver.com/,부산 상속전문 법무사 추천,LIVE_SERP_REVIEW_REQUIRED,외부,2026-09-25T23:58:00+09:00
부산 상속전문 법무사,20,WEB_SITE,naver.com,https://post.naver.com/,상속전문 변호사 vs 법무사,LIVE_SERP_REVIEW_REQUIRED,외부,2026-09-25T23:58:00+09:00
