url,pageType,bodyChars,h2Count,faqCount,grade,score
/,OTHER,943,2,3,WEAK,63
/about,OTHER,1028,2,3,IMPROVE,70
/office,OTHER,987,2,3,WEAK,63
/services,OTHER,1019,2,3,WEAK,66
/blog,OTHER,929,2,3,WEAK,63
/reviews,OTHER,894,2,3,WEAK,63
/faq,OTHER,940,2,3,WEAK,63
/공지사항,OTHER,853,2,3,WEAK,63
/media,OTHER,881,2,3,WEAK,67
/contact,OTHER,926,2,3,WEAK,63
/location,OTHER,921,2,3,WEAK,63
/search-guides,OTHER,1025,2,3,IMPROVE,70
/contact/inquiry,OTHER,1015,2,3,WEAK,66
/개인정보처리방침,OTHER,954,2,3,WEAK,63
/이용약관,OTHER,906,2,3,WEAK,63
/자가진단,GUIDE,1931,3,3,STRONG,92
/법인설립자가진단,GUIDE,1816,4,3,STRONG,92
/임원변경등기자가진단,GUIDE,1812,4,5,STRONG,92
/소유권이전등기자가진단,GUIDE,1867,4,3,STRONG,92
/개인회생자가진단,GUIDE,1839,4,4,STRONG,92
/개인파산자가진단,GUIDE,1791,4,3,STRONG,92
/전세보증금자가진단,GUIDE,1896,4,3,STRONG,92
/임차권등기명령자가진단,GUIDE,1823,4,3,STRONG,92
/지급명령자가진단,GUIDE,1814,4,3,STRONG,90
/내용증명자가진단,GUIDE,1785,4,3,STRONG,89
/공탁자가진단,GUIDE,1825,4,3,STRONG,87
/성년후견자가진단,GUIDE,1853,4,3,STRONG,87
/특별대리인자가진단,GUIDE,1868,4,3,STRONG,87
/선박등기자가진단,GUIDE,1851,4,3,STRONG,87
/부산파산,LOCAL,1415,5,3,STRONG,89
/해운대구상속등기,LOCAL,1811,3,3,IMPROVE,83
/해운대구상속포기,LOCAL,1733,4,3,IMPROVE,83
/해운대구한정승인,LOCAL,1647,4,3,IMPROVE,83
/해운대구법인등기,LOCAL,1579,4,3,IMPROVE,83
/해운대구부동산등기,LOCAL,1659,4,3,IMPROVE,79
/연제구상속등기,LOCAL,1785,3,3,IMPROVE,83
/연제구상속포기,LOCAL,1715,4,3,IMPROVE,83
/연제구법인등기,LOCAL,1561,4,3,IMPROVE,83
/연제구임원변경등기,LOCAL,1577,4,3,IMPROVE,83
/수영구상속등기,LOCAL,1755,3,3,IMPROVE,83
/수영구부동산등기,LOCAL,1595,4,3,IMPROVE,83
/수영구법인등기,LOCAL,1536,4,3,IMPROVE,83
/수영구개인회생,LOCAL,1339,4,3,IMPROVE,76
/동래구상속등기,LOCAL,1788,3,3,IMPROVE,83
/동래구법인등기,LOCAL,1564,4,3,IMPROVE,83
/동래구한정승인,LOCAL,1632,4,3,IMPROVE,83
/동래구임원변경등기,LOCAL,1580,4,3,IMPROVE,83
/기장군상속등기,LOCAL,1764,3,3,IMPROVE,83
/기장군상속포기,LOCAL,1698,4,3,IMPROVE,83
/기장군한정승인,LOCAL,1610,4,3,IMPROVE,83
/기장군법인등기,LOCAL,1540,4,3,IMPROVE,83
/기장군부동산등기,LOCAL,1600,4,3,IMPROVE,83
/북구상속등기,LOCAL,1734,3,3,IMPROVE,83
/북구부동산등기,LOCAL,1573,4,3,IMPROVE,83
/북구개인회생,LOCAL,1327,4,3,IMPROVE,76
/북구상속포기,LOCAL,1660,4,3,IMPROVE,83
/사상구상속등기,LOCAL,1746,3,3,IMPROVE,83
/사상구부동산등기,LOCAL,1589,4,3,IMPROVE,83
/사상구상속포기,LOCAL,1676,4,3,IMPROVE,83
/사상구개인회생,LOCAL,1344,4,3,IMPROVE,76
/금정구상속등기,LOCAL,1796,3,3,IMPROVE,83
/금정구한정승인,LOCAL,1640,4,3,IMPROVE,83
/금정구부동산등기,LOCAL,1635,4,3,IMPROVE,83
/센텀법인설립등기,LOCAL,1581,4,3,IMPROVE,79
/센텀임원변경등기,LOCAL,1548,4,3,IMPROVE,83
/센텀부동산등기,LOCAL,1616,4,3,IMPROVE,79
/해운대구법인설립등기,LOCAL,1627,4,3,IMPROVE,79
/해운대구임원변경등기,LOCAL,1599,4,3,IMPROVE,83
/연제구부동산등기,LOCAL,1622,4,3,IMPROVE,83
/연제구한정승인,LOCAL,1632,4,3,IMPROVE,83
/수영구상속포기,LOCAL,1691,4,3,IMPROVE,83
/동래구부동산등기,LOCAL,1630,4,3,IMPROVE,83
/사하구부동산등기,LOCAL,1751,4,3,IMPROVE,83
/서구부동산등기,LOCAL,1808,4,3,IMPROVE,83
/영도구부동산등기,LOCAL,1695,4,3,IMPROVE,83
/반여동법무사,LOCAL,1836,7,5,STRONG,92
/남구법무사,LOCAL,1726,7,5,STRONG,92
/북구법무사,LOCAL,1970,7,7,STRONG,92
/영도구법무사,LOCAL,1987,7,6,STRONG,92
/강서구법무사,LOCAL,1936,7,6,STRONG,92
/상속포기비용,COST,1613,5,8,STRONG,92
/한정승인비용,COST,1597,6,7,STRONG,92
/법인설립등기비용,COST,1714,5,8,STRONG,92
/임원변경등기과태료,COST,1406,4,6,STRONG,89
/소유권이전등기서류,COST,1399,4,6,STRONG,89
/상속등기필요서류,COST,1397,4,6,IMPROVE,80
/상속등기기간,COST,1392,4,6,IMPROVE,80
/부산지방법원법무사,LOCAL,1743,4,3,STRONG,85
/부산지방법원등기국,LOCAL,1824,4,3,STRONG,92
/부산지방법원동부지원법무사,LOCAL,1488,4,3,IMPROVE,82
/부산지방법원동부지원등기과,LOCAL,1584,5,3,STRONG,92
/부산회생법원법무사,LOCAL,1472,4,3,IMPROVE,84
/부산가정법원상속,LOCAL,1435,4,3,STRONG,89
/남부산등기소법무사,LOCAL,1452,5,3,STRONG,89
/북부산등기소법무사,LOCAL,1589,5,3,STRONG,87
/중부산등기소법무사,LOCAL,1669,5,3,STRONG,92
/부산진등기소법무사,LOCAL,1659,5,3,STRONG,92
