url,title,descriptionLen,titleDuplicateCount,issue
/부산부동산등기전문법무사,부산 부동산등기전문 법무사｜원인별 절차·선택 기준 구분,95,1,TEMPLATE_TITLE
/부산개인회생전문법무사,부산 개인회생전문 법무사｜소득·지출·변제여력표 먼저,76,1,TEMPLATE_TITLE
/부산개인파산전문법무사,부산 개인파산전문 법무사｜변제여력·면책 함께 점검,87,1,TEMPLATE_TITLE
/부산근저당전문법무사,부산 근저당전문 법무사｜설정·말소·채권최고액 구분,76,1,TEMPLATE_TITLE
/부산전세전문법무사,부산 전세전문 법무사｜확정일자·전세권·임차권 구분,120,1,TEMPLATE_TITLE
/부산임원변경전문법무사,부산 임원변경전문 법무사｜임기·결의일·과태료 기한,76,1,TEMPLATE_TITLE
/부산매매등기전문법무사,부산 매매등기전문 법무사｜잔금일 매수·매도·은행 순서,88,1,TEMPLATE_TITLE
/부산소유권이전전문법무사,부산 소유권이전전문 법무사｜매매·증여·상속 원인 구분,82,1,TEMPLATE_TITLE
/부산회생전문법무사,부산 회생전문 법무사｜짧은 검색어 개인회생 연결,76,1,TEMPLATE_TITLE
/부산파산전문법무사,부산 파산전문 법무사｜짧은 검색어 개인파산 연결,82,1,TEMPLATE_TITLE
/부산면책전문법무사,부산 면책전문 법무사｜파산 신청·면책 심사 구분,80,1,TEMPLATE_TITLE
/부산증여등기전문법무사,부산 증여등기전문 법무사｜부모자녀·부담부 증여 구분,81,1,TEMPLATE_TITLE
/부산법인설립전문법무사,부산 법인설립전문 법무사｜상호·자본·임원 준비,76,1,TEMPLATE_TITLE
/부산부동산전문법무사,부산 부동산전문 법무사｜짧은 검색어 원인 분류,85,1,TEMPLATE_TITLE
