path,status,error,source,title,h1,h1Count,canonical,robots,footerBeforeH1,hasLoadingPhrase,bodyCharCount,tier
/,200,,local-out,부산 법무사 | 다옴법무사사무소 안윤정,부산 법무사 안윤정,1,https://xn--2j1br1na42lvxja38mk8r.kr,"index, follow",false,false,10914,priority-a
/부산법무사,200,,local-out,부산에서 법무사 찾을 때 확인할 업무·비용·상담 기준 | 다옴법무사사무소,부산에서 법무사를 찾을 때 먼저 확인할 기준,1,https://xn--2j1br1na42lvxja38mk8r.kr/%EB%B6%80%EC%82%B0%EB%B2%95%EB%AC%B4%EC%82%AC,"index, follow",false,false,6447,priority-a
/부산법무사추천,200,,local-out,부산 법무사 추천 | 선택 기준·상담 전 확인 - 다옴법무사사무소,"부산 법무사 추천, 검색 전에 확인할 선택 기준",1,https://xn--2j1br1na42lvxja38mk8r.kr/%EB%B6%80%EC%82%B0%EB%B2%95%EB%AC%B4%EC%82%AC%EC%B6%94%EC%B2%9C,"index, follow",false,false,8701,priority-a
/부산법무사상담,200,,local-out,부산 법무사 상담 | 전화·카카오톡·방문 - 다옴법무사사무소,"부산 법무사 상담, 현재 상황부터 알려주세요",1,https://xn--2j1br1na42lvxja38mk8r.kr/%EB%B6%80%EC%82%B0%EB%B2%95%EB%AC%B4%EC%82%AC%EC%83%81%EB%8B%B4,"index, follow",false,false,9072,priority-a
/부산상속법무사,200,,local-out,부산 상속 법무사｜상속등기·상속포기·한정승인 중 무엇이 필요할까,"부산 상속 법무사, 등기·포기·한정승인 중 무엇부터 볼까",1,https://xn--2j1br1na42lvxja38mk8r.kr/%EB%B6%80%EC%82%B0%EC%83%81%EC%86%8D%EB%B2%95%EB%AC%B4%EC%82%AC,"index, follow",false,false,8102,priority-a
/부산상속포기,200,,local-out,부산 상속포기 법무사｜3개월 기한과 후순위 상속 효과를 먼저 확인,"부산 상속포기 법무사, 기한과 후순위부터 확인하세요",1,https://xn--2j1br1na42lvxja38mk8r.kr/%EB%B6%80%EC%82%B0%EC%83%81%EC%86%8D%ED%8F%AC%EA%B8%B0,"index, follow",false,false,8143,priority-a
/부산등기법무사,200,,local-out,부산 등기 법무사 | 부동산·상속·법인등기 상담 - 다옴법무사사무소,"부산 등기 법무사, 어떤 등기부터 준비해야 할까요?",1,https://xn--2j1br1na42lvxja38mk8r.kr/%EB%B6%80%EC%82%B0%EB%93%B1%EA%B8%B0%EB%B2%95%EB%AC%B4%EC%82%AC,"index, follow",false,false,6219,priority-a
/상속,200,,local-out,상속등기·포기·한정승인｜전국·부산 상담 | 다옴법무사사무소,상속등기·상속포기·한정승인·전국 상속 상담,1,https://xn--2j1br1na42lvxja38mk8r.kr/%EC%83%81%EC%86%8D,"index, follow",false,false,7267,priority-a
/부산한정승인,200,,local-out,부산 한정승인 법무사｜상속채무가 걱정될 때 3개월 안에 확인할 절차,"부산 한정승인 법무사, 상속채무가 불확실할 때 먼저 볼 기준",1,https://xn--2j1br1na42lvxja38mk8r.kr/%EB%B6%80%EC%82%B0%ED%95%9C%EC%A0%95%EC%8A%B9%EC%9D%B8,"index, follow",false,false,7354,sample
/부산상속등기,200,,local-out,부산 상속등기 법무사｜상속인 구성에 따라 달라지는 서류와 진행 순서,"부산 상속등기 법무사, 명의이전 서류와 진행 순서",1,https://xn--2j1br1na42lvxja38mk8r.kr/%EB%B6%80%EC%82%B0%EC%83%81%EC%86%8D%EB%93%B1%EA%B8%B0,"index, follow",false,false,7080,sample
/부산부동산등기,200,,local-out,부산 부동산등기 법무사｜잔금·말소·소유권이전 순서를 맞추려면,"부산 부동산등기 법무사, 매매·증여 이전 순서 정리",1,https://xn--2j1br1na42lvxja38mk8r.kr/%EB%B6%80%EC%82%B0%EB%B6%80%EB%8F%99%EC%82%B0%EB%93%B1%EA%B8%B0,"index, follow",false,false,6493,sample
/부산법인법무사,200,,local-out,부산 법무사 법인 업무｜비용·절차·준비서류 총정리,"부산 법인 업무, 설립부터 변경·해산까지 한 번에 확인하기",1,https://xn--2j1br1na42lvxja38mk8r.kr/%EB%B6%80%EC%82%B0%EB%B2%95%EC%9D%B8%EB%B2%95%EB%AC%B4%EC%82%AC,"index, follow",false,false,9249,sample
/부산개인회생,200,,local-out,부산 개인회생 안내 | 다옴법무사사무소,부산 개인회생 법무사 상담,1,https://xn--2j1br1na42lvxja38mk8r.kr/%EB%B6%80%EC%82%B0%EA%B0%9C%EC%9D%B8%ED%9A%8C%EC%83%9D,"index, follow",false,false,8120,sample
/해운대법무사,200,,local-out,해운대 법무사 안내 | 다옴법무사사무소,해운대 법무사 상담 — 다옴법무사사무소,1,https://xn--2j1br1na42lvxja38mk8r.kr/%ED%95%B4%EC%9A%B4%EB%8C%80%EB%B2%95%EB%AC%B4%EC%82%AC,"index, follow",false,false,7519,sample
/센텀법무사,200,,local-out,센텀 법무사 안내 | 다옴법무사사무소,센텀 법무사 상담 — 다옴법무사사무소,1,https://xn--2j1br1na42lvxja38mk8r.kr/%EC%84%BC%ED%85%80%EB%B2%95%EB%AC%B4%EC%82%AC,"index, follow",false,false,7137,sample
/자가진단,200,,local-out,부산 업무별 자가진단 모음 | 상속·… | 다옴법무사사무소,부산 법무사 업무별 자가진단,1,https://xn--2j1br1na42lvxja38mk8r.kr/%EC%9E%90%EA%B0%80%EC%A7%84%EB%8B%A8,"index, follow",false,false,2737,sample
/업무사례,200,,local-out,업무 사례｜부산 법무사 지역·업무별 안내 | 다옴법무사사무소,부산 법무사 업무 사례를 지역과 업무로 찾아보세요,1,https://xn--2j1br1na42lvxja38mk8r.kr/%EC%97%85%EB%AC%B4%EC%82%AC%EB%A1%80,"index, follow",false,false,1679,sample
/partners,200,,local-out,부산 법무사 협업문의｜복대리·부동산·건축·기업·기관 등기업무,"부산에서 필요한 등기 업무, 협업 방식부터 확인합니다",1,https://xn--2j1br1na42lvxja38mk8r.kr/partners,"index, follow",false,false,6299,sample
