url,title,representativeImage,ogImage,imageWidth,imageHeight,fileSize,unique,visibleInBody,alt,structuredDataImage,status
/services,"업무 안내",/generated/serp/services/services-hub.jpg,/generated/serp/services/services-hub.jpg,1200,1200,101462,yes,yes,"업무 안내를 안내하는 안윤정 법무사",/generated/serp/services/services-hub.jpg,READY
/services/inheritance-registration,"상속등기",/generated/serp/inheritance/inheritance-registration.jpg,/generated/serp/inheritance/inheritance-registration.jpg,1200,1200,117241,yes,yes,"상속등기를 안내하는 안윤정 법무사",/generated/serp/inheritance/inheritance-registration.jpg,READY
/services/inheritance-renunciation,"상속포기",/generated/serp/inheritance/inheritance-renunciation.jpg,/generated/serp/inheritance/inheritance-renunciation.jpg,1200,1200,97930,yes,yes,"상속포기를 안내하는 안윤정 법무사",/generated/serp/inheritance/inheritance-renunciation.jpg,READY
/services/qualified-acceptance,"한정승인",/generated/serp/inheritance/qualified-acceptance.jpg,/generated/serp/inheritance/qualified-acceptance.jpg,1200,1200,141919,yes,yes,"한정승인를 안내하는 안윤정 법무사",/generated/serp/inheritance/qualified-acceptance.jpg,READY
/services/real-estate-registration,"부동산등기",/generated/serp/realestate/real-estate-registration.jpg,/generated/serp/realestate/real-estate-registration.jpg,1200,1200,192247,yes,yes,"부동산등기를 안내하는 안윤정 법무사",/generated/serp/realestate/real-estate-registration.jpg,READY
/services/ownership-transfer,"소유권이전등기",/generated/serp/realestate/ownership-transfer.jpg,/generated/serp/realestate/ownership-transfer.jpg,1200,1200,158056,yes,yes,"소유권이전등기를 안내하는 안윤정 법무사",/generated/serp/realestate/ownership-transfer.jpg,READY
/services/corporate-registration,"법인등기",/generated/serp/corporate/corporate-registration.jpg,/generated/serp/corporate/corporate-registration.jpg,1200,1200,144808,yes,yes,"법인등기를 안내하는 안윤정 법무사",/generated/serp/corporate/corporate-registration.jpg,READY
/services/company-establishment,"법인설립",/generated/serp/corporate/company-establishment.jpg,/generated/serp/corporate/company-establishment.jpg,1200,1200,97492,yes,yes,"법인설립를 안내하는 안윤정 법무사",/generated/serp/corporate/company-establishment.jpg,READY
/services/director-change,"임원변경",/generated/serp/corporate/director-change.jpg,/generated/serp/corporate/director-change.jpg,1200,1200,147403,yes,yes,"임원변경를 안내하는 안윤정 법무사",/generated/serp/corporate/director-change.jpg,READY
/services/personal-rehabilitation,"개인회생",/generated/serp/rehabilitation/personal-rehabilitation.jpg,/generated/serp/rehabilitation/personal-rehabilitation.jpg,1200,1200,125004,yes,yes,"개인회생를 안내하는 안윤정 법무사",/generated/serp/rehabilitation/personal-rehabilitation.jpg,READY
/services/bankruptcy,"개인파산",/generated/serp/rehabilitation/bankruptcy.jpg,/generated/serp/rehabilitation/bankruptcy.jpg,1200,1200,141511,yes,yes,"개인파산를 안내하는 안윤정 법무사",/generated/serp/rehabilitation/bankruptcy.jpg,READY
