keyword,owner_url,baseline_impressions,baseline_clicks,baseline_ctr,day30,day60,day90,notes
연제구 법무사,/연제구법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN — Search Advisor export 없음. 숫자를 만들지 않음."
수영구 법무사,/수영구법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
동래구 법무사,/동래구법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
부산진구 법무사,/부산진구법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
해운대 법무사,/해운대법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
남구 법무사,/남구법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
북구 법무사,/북구법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
금정구 법무사,/금정구법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
사하구 법무사,/사하구법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
사상구 법무사,/사상구법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
강서구 법무사,/강서구법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
중구 법무사,/중구법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
서구 법무사,/서구법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
동구 법무사,/동구법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
영도구 법무사,/영도구법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
기장군 법무사,/기장군법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
연산동 법무사,/연산동법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
거제동 법무사,/거제동법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
사직동 법무사,/사직동법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
온천동 법무사,/온천동법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
재송동 법무사,/재송동법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
반여동 법무사,/반여동법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
우동 법무사,/우동법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
좌동 법무사,/좌동법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
중동 법무사,/중동법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
센텀 법무사,/센텀법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
광안동 법무사,/광안동법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
광안리 법무사,/광안리법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
민락동 법무사,/민락동법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
망미동 법무사,/망미동법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
남천동 법무사,/남천동법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
대연동 법무사,/대연동법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
용호동 법무사,/용호동법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
문현동 법무사,/문현동법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
서면 법무사,/서면법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
부전동 법무사,/부전동법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
전포동 법무사,/전포동법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
화명동 법무사,/화명동법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
덕천동 법무사,/덕천동법무사,,,,,,"SEARCH PERFORMANCE UNKNOWN"
