url,scope,incoming_link_count,exact_anchor_in_count,note
(sitewide),deferred-full-graph,,,Full graph deferred; owner incoming-link gate uses seo:regression + existing audits
/,crawl-sample,,,see production HTML audit
/부산법무사,crawl-sample,,,see production HTML audit
/부산법무사상담,crawl-sample,,,see production HTML audit
/부산법무사추천,crawl-sample,,,see production HTML audit
/부산등기법무사,crawl-sample,,,see production HTML audit
/부산상속법무사,crawl-sample,,,see production HTML audit
/부산상속등기,crawl-sample,,,see production HTML audit
/부산상속포기,crawl-sample,,,see production HTML audit
/부산한정승인,crawl-sample,,,see production HTML audit
/부산부동산등기,crawl-sample,,,see production HTML audit
/부산법무사비용,crawl-sample,,,see production HTML audit
/부산법인법무사,crawl-sample,,,see production HTML audit
/부산법인등기,crawl-sample,,,see production HTML audit
/개인회생파산,crawl-sample,,,see production HTML audit
/부산개인회생,crawl-sample,,,see production HTML audit
/해운대법무사,crawl-sample,,,see production HTML audit
/센텀법무사,crawl-sample,,,see production HTML audit
/연제구법무사,crawl-sample,,,see production HTML audit
/about,crawl-sample,,,see production HTML audit
/office,crawl-sample,,,see production HTML audit
/services,crawl-sample,,,see production HTML audit
/contact,crawl-sample,,,see production HTML audit
/location,crawl-sample,,,see production HTML audit
/media,crawl-sample,,,see production HTML audit
/강의이력,crawl-sample,,,see production HTML audit
/강의문의,crawl-sample,,,see production HTML audit
/법률강의,crawl-sample,,,see production HTML audit
/상속,crawl-sample,,,see production HTML audit
/전국상속등기,crawl-sample,,,see production HTML audit
/법인등기,crawl-sample,,,see production HTML audit
/부동산등기,crawl-sample,,,see production HTML audit
