"namespace","file","line","operation","route","public_path","estimated_hotness","snippet"
"ADMIN_KV","wrangler.toml","9","CALL","","no","LOW","# Variable name must be ADMIN_KV (see functions/_lib/admin-ops/store.ts)."
"ADMIN_KV","wrangler.toml","12","CALL","","no","LOW","binding = ""ADMIN_KV"""
"ADMIN_KV","functions/api/admin/[[path]].ts","23","CALL","//api/admin/*","no","HIGH","buildDashboard;"
"ADMIN_KV","functions/api/admin/[[path]].ts","24","CALL","//api/admin/*","no","MEDIUM","buildMonitoring;"
"ADMIN_KV","functions/api/admin/[[path]].ts","25","CALL","//api/admin/*","no","MEDIUM","buildPagesReport;"
"ADMIN_KV","functions/api/admin/[[path]].ts","31","GET","//api/admin/*","no","MEDIUM","listNotices;"
"ADMIN_KV","functions/api/admin/[[path]].ts","210","CALL","//api/admin/*","no","HIGH","const data = await buildDashboard(env);"
"ADMIN_KV","functions/api/admin/[[path]].ts","216","CALL","//api/admin/*","no","MEDIUM","return json({ ok: true; data: { days: []; message: ""아직 측정되지 않음 (ADMIN_KV 필요)"" } });"
"ADMIN_KV","functions/api/admin/[[path]].ts","229","CALL","//api/admin/*","no","MEDIUM","const data = await buildPagesReport(env; days);"
"ADMIN_KV","functions/api/admin/[[path]].ts","250","CALL","//api/admin/*","no","MEDIUM","const dash = await buildMonitoring(env);"
"ADMIN_KV","functions/api/admin/[[path]].ts","279","GET","//api/admin/*","no","MEDIUM","const notices = await listNotices(env);"
"ADMIN_KV","functions/api/admin/[[path]].ts","304","CALL","//api/admin/*","no","MEDIUM","return json({ ok: false; code: ""no_storage""; message: ""ADMIN_KV가 필요합니다."" }; 503);"
"ADMIN_KV","functions/api/admin/[[path]].ts","355","GET","//api/admin/*","no","MEDIUM","const notices = await listNotices(env);"
"ADMIN_KV","functions/api/admin/[[path]].ts","374","GET","//api/admin/*","no","MEDIUM","const notices = await listNotices(env);"
"ADMIN_KV","functions/api/admin/[[path]].ts","404","GET","//api/admin/*","no","MEDIUM","const notices = await listNotices(env);"
"ADMIN_KV","functions/api/analytics/collect.ts","12","GET+PUT","//api/analytics/collect","yes","CRITICAL","import { hasKv; recordAnalyticsEvent; bumpIngest } from ""../../_lib/admin-ops/store"";"
"ADMIN_KV","functions/api/analytics/collect.ts","141","GET+PUT","//api/analytics/collect","yes","CRITICAL","result = await recordAnalyticsEvent(env; {"
"ADMIN_KV","functions/api/analytics/collect.ts","160","CALL","//api/analytics/collect","yes","CRITICAL","await bumpIngest(env; ""store_error"");"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","2","CALL","","no","MEDIUM","* ADMIN_KV store — notices; daily aggregates; email logs; audit."
"ADMIN_KV","functions/_lib/admin-ops/store.ts","50","CALL","","no","MEDIUM","export async function bumpIngest(env; reason) {"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","57","GET","","no","MEDIUM","const row = await getJson(env.ADMIN_KV; ingestKey(date); emptyIngest(date));"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","61","PUT","","no","MEDIUM","await putJson(env.ADMIN_KV; ingestKey(date); row);"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","69","GET","","no","MEDIUM","return getJson(env.ADMIN_KV; ingestKey(date); emptyIngest(date));"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","305","CALL","","no","MEDIUM","return Boolean(env?.ADMIN_KV);"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","318","GET","","no","MEDIUM","async function getJson(kv; key; fallback) {"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","322","GET","","no","MEDIUM","const raw = await kv.get(key);"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","335","PUT","","no","MEDIUM","async function putJson(kv; key; value) {"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","338","PUT","","no","MEDIUM","await kv.put(key; JSON.stringify(value));"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","341","GET","","no","MEDIUM","export async function listNotices(env) {"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","343","GET","","no","MEDIUM","return getJson(env.ADMIN_KV; KEYS.notices; []);"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","348","GET","","no","MEDIUM","return await listNotices(env);"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","355","PUT","","no","MEDIUM","await putJson(env.ADMIN_KV; KEYS.notices; notices);"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","464","GET","","no","MEDIUM","const notices = await listNotices(env);"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","478","GET","","no","MEDIUM","keys.map((key) => getJson(env.ADMIN_KV; key; null));"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","494","GET","","no","MEDIUM","keys.map((key) => getJson(env.ADMIN_KV; key; null));"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","503","GET","","no","MEDIUM","const bucket = await getJson(env.ADMIN_KV; keyName; emptyHourlyDay(date));"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","542","PUT","","no","MEDIUM","await putJson(env.ADMIN_KV; keyName; bucket);"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","573","GET","","no","MEDIUM","const list = await getJson(env.ADMIN_KV; KEYS.recentActivity; []);"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","587","PUT","","no","MEDIUM","await putJson(env.ADMIN_KV; KEYS.recentActivity; list.slice(0; 80));"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","622","GET","","no","MEDIUM","const list = await getJson(env.ADMIN_KV; KEYS.recentActivity; []);"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","628","GET+PUT","","no","MEDIUM","export async function recordAnalyticsEvent(env; event) {"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","637","GET","","no","MEDIUM","const day = await getJson(env.ADMIN_KV; dayKey(date; shard); emptyDay(date));"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","741","PUT","","no","MEDIUM","await putJson(env.ADMIN_KV; dayKey(date; shard); day);"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","747","CALL","","no","MEDIUM","export async function appendEmailLog(env; entry) {"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","749","GET","","no","MEDIUM","const logs = await getJson(env.ADMIN_KV; KEYS.emailLogs; []);"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","751","PUT","","no","MEDIUM","await putJson(env.ADMIN_KV; KEYS.emailLogs; logs.slice(0; 500));"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","756","GET","","no","MEDIUM","const logs = await getJson(env.ADMIN_KV; KEYS.emailLogs; []);"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","762","GET","","no","MEDIUM","const logs = await getJson(env.ADMIN_KV; KEYS.audit; []);"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","764","PUT","","no","MEDIUM","await putJson(env.ADMIN_KV; KEYS.audit; logs.slice(0; 200));"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","769","GET","","no","MEDIUM","const logs = await getJson(env.ADMIN_KV; KEYS.audit; []);"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","785","CALL","","no","HIGH","export async function buildDashboard(env) {"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","1033","GET","","no","MEDIUM","notices = await listNotices(env);"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","1047","CALL","","no","MEDIUM","title: ""ADMIN_KV 미연결"";"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","1048","CALL","","no","MEDIUM","detail: ""Cloudflare KV 바인딩 ADMIN_KV를 연결하면 통계·공지·메일 로그가 저장됩니다."";"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","1113","CALL","","no","MEDIUM","detail: storageConfigured ? ""ADMIN_KV 연결됨"" : ""ADMIN_KV 없음"";"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","1225","CALL","","no","MEDIUM","export async function buildMonitoring(env) {"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","1282","GET","","no","MEDIUM","notices = await listNotices(env);"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","1295","CALL","","no","MEDIUM","title: ""ADMIN_KV 미연결"";"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","1296","CALL","","no","MEDIUM","detail: ""Cloudflare KV 바인딩 ADMIN_KV를 연결하면 통계·공지·메일 로그가 저장됩니다."";"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","1349","CALL","","no","MEDIUM","detail: storageConfigured ? ""ADMIN_KV 연결됨"" : ""ADMIN_KV 없음"";"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","1404","CALL","","no","MEDIUM","export async function buildPagesReport(env; days = 30) {"
"ADMIN_KV","functions/_lib/admin-ops/store.ts","1534","CALL","","no","MEDIUM","message: ""아직 측정되지 않음 (ADMIN_KV 필요)"";"
"ADMIN_KV","src/app/admin/notices/page.tsx","105","CALL","","no","MEDIUM","setError(""ADMIN_KV가 없어 공지를 저장할 수 없습니다."");"
"ADMIN_KV","src/app/admin/notices/page.tsx","126","CALL","","no","MEDIUM","setError(""ADMIN_KV가 없어 공지를 저장할 수 없습니다."");"
"ADMIN_KV","src/app/admin/page.tsx","381","CALL","","no","MEDIUM","ADMIN_KV 미연결 — “—”는 데이터 없음입니다(가짜 0 아님)."
"ADMIN_KV","src/components/admin-console/AdminShell.tsx","43","CALL","","no","MEDIUM","설정하고; <code>ADMIN_KV</code> 바인딩을 연결한 뒤 재배포하세요."
"ADMIN_KV","src/lib/admin-ops/admin-fetch.ts","57","CALL","","no","MEDIUM","""ADMIN_KV 바인딩이 없습니다. wrangler.toml을 확인한 뒤 재배포하세요."";"
